membersPerDimension,AmountOfDimensions,AmountOfMeasures,maxFreeDimensions,maxMembers2Dice,amountViews,maxAmountViews
10,1,1,1,1,12,12
10,2,1,1,1,43,144
10,2,1,1,2,143,144
10,2,1,2,1,44,144
10,2,1,2,2,144,144
10,3,1,1,1,94,1728
10,3,1,1,2,694,1728
10,3,1,1,3,1694,1728
10,3,1,2,1,127,1728
10,3,1,2,2,727,1728
10,3,1,2,3,1727,1728
10,3,1,3,1,128,1728
10,3,1,3,2,728,1728
10,3,1,3,3,1728,1728
10,4,1,1,1,165,20736
10,4,1,1,2,1965,20736
10,4,1,1,3,9965,20736
10,4,1,1,4,19965,20736
10,4,1,2,1,291,20736
10,4,1,2,2,2691,20736
10,4,1,2,3,10691,20736
10,4,1,2,4,20691,20736
10,4,1,3,1,335,20736
10,4,1,3,2,2735,20736
10,4,1,3,3,10735,20736
10,4,1,3,4,20735,20736
10,4,1,4,1,336,20736
10,4,1,4,2,2736,20736
10,4,1,4,3,10736,20736
10,4,1,4,4,20736,20736
10,5,1,1,1,256,248832
10,5,1,1,2,4256,248832
10,5,1,1,3,34256,248832
10,5,1,1,4,134256,248832
10,5,1,1,5,234256,248832
10,5,1,2,1,566,248832
10,5,1,2,2,7566,248832
10,5,1,2,3,47566,248832
10,5,1,2,4,147566,248832
10,5,1,2,5,247566,248832
10,5,1,3,1,776,248832
10,5,1,3,2,8776,248832
10,5,1,3,3,48776,248832
10,5,1,3,4,148776,248832
10,5,1,3,5,248776,248832
10,5,1,4,1,831,248832
10,5,1,4,2,8831,248832
10,5,1,4,3,48831,248832
10,5,1,4,4,148831,248832
10,5,1,4,5,248831,248832
10,5,1,5,1,832,248832
10,5,1,5,2,8832,248832
10,5,1,5,3,48832,248832
10,5,1,5,4,148832,248832
10,5,1,5,5,248832,248832
10,6,1,1,1,367,2985984
10,6,1,1,2,7867,2985984
10,6,1,1,3,87867,2985984
10,6,1,1,4,537867,2985984
10,6,1,1,5,1737867,2985984
10,6,1,1,6,2737867,2985984
10,6,1,2,1,982,2985984
10,6,1,2,2,17482,2985984
10,6,1,2,3,157482,2985984
10,6,1,2,4,757482,2985984
10,6,1,2,5,1957482,2985984
10,6,1,2,6,2957482,2985984
10,6,1,3,1,1602,2985984
10,6,1,3,2,24102,2985984
10,6,1,3,3,184102,2985984
10,6,1,3,4,784102,2985984
10,6,1,3,5,1984102,2985984
10,6,1,3,6,2984102,2985984
10,6,1,4,1,1917,2985984
10,6,1,4,2,25917,2985984
10,6,1,4,3,185917,2985984
10,6,1,4,4,785917,2985984
10,6,1,4,5,1985917,2985984
10,6,1,4,6,2985917,2985984
10,6,1,5,1,1983,2985984
10,6,1,5,2,25983,2985984
10,6,1,5,3,185983,2985984
10,6,1,5,4,785983,2985984
10,6,1,5,5,1985983,2985984
10,6,1,5,6,2985983,2985984
10,6,1,6,1,1984,2985984
10,6,1,6,2,25984,2985984
10,6,1,6,3,185984,2985984
10,6,1,6,4,785984,2985984
10,6,1,6,5,1985984,2985984
10,6,1,6,6,2985984,2985984
10,7,1,1,1,498,35831808
10,7,1,1,2,13098,35831808
10,7,1,1,3,188098,35831808
10,7,1,1,4,1588098,35831808
10,7,1,1,5,7888098,35831808
10,7,1,1,6,21888098,35831808
10,7,1,1,7,31888098,35831808
10,7,1,2,1,1569,35831808
10,7,1,2,2,35169,35831808
10,7,1,2,3,420169,35831808
10,7,1,2,4,2870169,35831808
10,7,1,2,5,11270169,35831808
10,7,1,2,6,25270169,35831808
10,7,1,2,7,35270169,35831808
10,7,1,3,1,3004,35831808
10,7,1,3,2,57604,35831808
10,7,1,3,3,582604,35831808
10,7,1,3,4,3382604,35831808
10,7,1,3,5,11782604,35831808
10,7,1,3,6,25782604,35831808
10,7,1,3,7,35782604,35831808
10,7,1,4,1,4089,35831808
10,7,1,4,2,69189,35831808
10,7,1,4,3,629189,35831808
10,7,1,4,4,3429189,35831808
10,7,1,4,5,11829189,35831808
10,7,1,4,6,25829189,35831808
10,7,1,4,7,35829189,35831808
10,7,1,5,1,4530,35831808
10,7,1,5,2,71730,35831808
10,7,1,5,3,631730,35831808
10,7,1,5,4,3431730,35831808
10,7,1,5,5,11831730,35831808
10,7,1,5,6,25831730,35831808
10,7,1,5,7,35831730,35831808
10,7,1,6,1,4607,35831808
10,7,1,6,2,71807,35831808
10,7,1,6,3,631807,35831808
10,7,1,6,4,3431807,35831808
10,7,1,6,5,11831807,35831808
10,7,1,6,6,25831807,35831808
10,7,1,6,7,35831807,35831808
10,7,1,7,1,4608,35831808
10,7,1,7,2,71808,35831808
10,7,1,7,3,631808,35831808
10,7,1,7,4,3431808,35831808
10,7,1,7,5,11831808,35831808
10,7,1,7,6,25831808,35831808
10,7,1,7,7,35831808,35831808
10,8,1,1,1,649,429981696
10,8,1,1,2,20249,429981696
10,8,1,1,3,356249,429981696
10,8,1,1,4,3856249,429981696
10,8,1,1,5,26256249,429981696
10,8,1,1,6,110256249,429981696
10,8,1,1,7,270256249,429981696
10,8,1,1,8,370256249,429981696
10,8,1,2,1,2357,429981696
10,8,1,2,2,63957,429981696
10,8,1,2,3,959957,429981696
10,8,1,2,4,8659957,429981696
10,8,1,2,5,47859957,429981696
10,8,1,2,6,159859957,429981696
10,8,1,2,7,319859957,429981696
10,8,1,2,8,419859957,429981696
10,8,1,3,1,5213,429981696
10,8,1,3,2,122813,429981696
10,8,1,3,3,1578813,429981696
10,8,1,3,4,12078813,429981696
10,8,1,3,5,56878813,429981696
10,8,1,3,6,168878813,429981696
10,8,1,3,7,328878813,429981696
10,8,1,3,8,428878813,429981696
10,8,1,4,1,8083,429981696
10,8,1,4,2,167683,429981696
10,8,1,4,3,1903683,429981696
10,8,1,4,4,13103683,429981696
10,8,1,4,5,57903683,429981696
10,8,1,4,6,169903683,429981696
10,8,1,4,7,329903683,429981696
10,8,1,4,8,429903683,429981696
10,8,1,5,1,9819,429981696
10,8,1,5,2,186219,429981696
10,8,1,5,3,1978219,429981696
10,8,1,5,4,13178219,429981696
10,8,1,5,5,57978219,429981696
10,8,1,5,6,169978219,429981696
10,8,1,5,7,329978219,429981696
10,8,1,5,8,429978219,429981696
10,8,1,6,1,10407,429981696
10,8,1,6,2,189607,429981696
10,8,1,6,3,1981607,429981696
10,8,1,6,4,13181607,429981696
10,8,1,6,5,57981607,429981696
10,8,1,6,6,169981607,429981696
10,8,1,6,7,329981607,429981696
10,8,1,6,8,429981607,429981696
10,8,1,7,1,10495,429981696
10,8,1,7,2,189695,429981696
10,8,1,7,3,1981695,429981696
10,8,1,7,4,13181695,429981696
10,8,1,7,5,57981695,429981696
10,8,1,7,6,169981695,429981696
10,8,1,7,7,329981695,429981696
10,8,1,7,8,429981695,429981696
10,8,1,8,1,10496,429981696
10,8,1,8,2,189696,429981696
10,8,1,8,3,1981696,429981696
10,8,1,8,4,13181696,429981696
10,8,1,8,5,57981696,429981696
10,8,1,8,6,169981696,429981696
10,8,1,8,7,329981696,429981696
10,8,1,8,8,429981696,429981696
10,9,1,1,1,820,5159780352
10,9,1,1,2,29620,5159780352
10,9,1,1,3,617620,5159780352
10,9,1,1,4,8177620,5159780352
10,9,1,1,5,71177620,5159780352
10,9,1,1,6,407177620,5159780352
10,9,1,1,7,1487177620,5159780352
10,9,1,1,8,3287177620,5159780352
10,9,1,1,9,4287177620,5159780352
10,9,1,2,1,3376,5159780352
10,9,1,2,2,107776,5159780352
10,9,1,2,3,1955776,5159780352
10,9,1,2,4,22115776,5159780352
10,9,1,2,5,160715776,5159780352
10,9,1,2,6,748715776,5159780352
10,9,1,2,7,2188715776,5159780352
10,9,1,2,8,3988715776,5159780352
10,9,1,2,9,4988715776,5159780352
10,9,1,3,1,8500,5159780352
10,9,1,3,2,238900,5159780352
10,9,1,3,3,3766900,5159780352
10,9,1,3,4,36526900,5159780352
10,9,1,3,5,225526900,5159780352
10,9,1,3,6,897526900,5159780352
10,9,1,3,7,2337526900,5159780352
10,9,1,3,8,4137526900,5159780352
10,9,1,3,9,5137526900,5159780352
10,9,1,4,1,14926,5159780352
10,9,1,4,2,371326,5159780352
10,9,1,4,3,5159326,5159780352
10,9,1,4,4,44219326,5159780352
10,9,1,4,5,245819326,5159780352
10,9,1,4,6,917819326,5159780352
10,9,1,4,7,2357819326,5159780352
10,9,1,4,8,4157819326,5159780352
10,9,1,4,9,5157819326,5159780352
10,9,1,5,1,20092,5159780352
10,9,1,5,2,452092,5159780352
10,9,1,5,3,5744092,5159780352
10,9,1,5,4,46064092,5159780352
10,9,1,5,5,247664092,5159780352
10,9,1,5,6,919664092,5159780352
10,9,1,5,7,2359664092,5159780352
10,9,1,5,8,4159664092,5159780352
10,9,1,5,9,5159664092,5159780352
10,9,1,6,1,22696,5159780352
10,9,1,6,2,479896,5159780352
10,9,1,6,3,5855896,5159780352
10,9,1,6,4,46175896,5159780352
10,9,1,6,5,247775896,5159780352
10,9,1,6,6,919775896,5159780352
10,9,1,6,7,2359775896,5159780352
10,9,1,6,8,4159775896,5159780352
10,9,1,6,9,5159775896,5159780352
10,9,1,7,1,23452,5159780352
10,9,1,7,2,484252,5159780352
10,9,1,7,3,5860252,5159780352
10,9,1,7,4,46180252,5159780352
10,9,1,7,5,247780252,5159780352
10,9,1,7,6,919780252,5159780352
10,9,1,7,7,2359780252,5159780352
10,9,1,7,8,4159780252,5159780352
10,9,1,7,9,5159780252,5159780352
10,9,1,8,1,23551,5159780352
10,9,1,8,2,484351,5159780352
10,9,1,8,3,5860351,5159780352
10,9,1,8,4,46180351,5159780352
10,9,1,8,5,247780351,5159780352
10,9,1,8,6,919780351,5159780352
10,9,1,8,7,2359780351,5159780352
10,9,1,8,8,4159780351,5159780352
10,9,1,8,9,5159780351,5159780352
10,9,1,9,1,23552,5159780352
10,9,1,9,2,484352,5159780352
10,9,1,9,3,5860352,5159780352
10,9,1,9,4,46180352,5159780352
10,9,1,9,5,247780352,5159780352
10,9,1,9,6,919780352,5159780352
10,9,1,9,7,2359780352,5159780352
10,9,1,9,8,4159780352,5159780352
10,9,1,9,9,5159780352,5159780352
10,10,1,1,1,1011,61917364224
10,10,1,1,2,41511,61917364224
10,10,1,1,3,1001511,61917364224
10,10,1,1,4,15701511,61917364224
10,10,1,1,5,166901511,61917364224
10,10,1,1,6,1216901511,61917364224
10,10,1,1,7,6016901511,61917364224
10,10,1,1,8,19516901511,61917364224
10,10,1,1,9,39516901511,61917364224
10,10,1,1,10,49516901511,61917364224
10,10,1,2,1,4656,61917364224
10,10,1,2,2,171156,61917364224
10,10,1,2,3,3651156,61917364224
10,10,1,2,4,49851156,61917364224
10,10,1,2,5,453051156,61917364224
10,10,1,2,6,2763051156,61917364224
10,10,1,2,7,11163051156,61917364224
10,10,1,2,8,29163051156,61917364224
10,10,1,2,9,49163051156,61917364224
10,10,1,2,10,59163051156,61917364224
10,10,1,3,1,13176,61917364224
10,10,1,3,2,431676,61917364224
10,10,1,3,3,8111676,61917364224
10,10,1,3,4,96311676,61917364224
10,10,1,3,5,751511676,61917364224
10,10,1,3,6,3901511676,61917364224
10,10,1,3,7,13501511676,61917364224
10,10,1,3,8,31501511676,61917364224
10,10,1,3,9,51501511676,61917364224
10,10,1,3,10,61501511676,61917364224
10,10,1,4,1,25986,61917364224
10,10,1,4,2,759486,61917364224
10,10,1,4,3,12639486,61917364224
10,10,1,4,4,132339486,61917364224
10,10,1,4,5,913539486,61917364224
10,10,1,4,6,4273539486,61917364224
10,10,1,4,7,13873539486,61917364224
10,10,1,4,8,31873539486,61917364224
10,10,1,4,9,51873539486,61917364224
10,10,1,4,10,61873539486,61917364224
10,10,1,5,1,38838,61917364224
10,10,1,5,2,1024338,61917364224
10,10,1,5,3,15424338,61917364224
10,10,1,5,4,147724338,61917364224
10,10,1,5,5,954124338,61917364224
10,10,1,5,6,4314124338,61917364224
10,10,1,5,7,13914124338,61917364224
10,10,1,5,8,31914124338,61917364224
10,10,1,5,9,51914124338,61917364224
10,10,1,5,10,61914124338,61917364224
10,10,1,6,1,47448,61917364224
10,10,1,6,2,1158948,61917364224
10,10,1,6,3,16398948,61917364224
10,10,1,6,4,150798948,61917364224
10,10,1,6,5,957198948,61917364224
10,10,1,6,6,4317198948,61917364224
10,10,1,6,7,13917198948,61917364224
10,10,1,6,8,31917198948,61917364224
10,10,1,6,9,51917198948,61917364224
10,10,1,6,10,61917198948,61917364224
10,10,1,7,1,51168,61917364224
10,10,1,7,2,1198668,61917364224
10,10,1,7,3,16558668,61917364224
10,10,1,7,4,150958668,61917364224
10,10,1,7,5,957358668,61917364224
10,10,1,7,6,4317358668,61917364224
10,10,1,7,7,13917358668,61917364224
10,10,1,7,8,31917358668,61917364224
10,10,1,7,9,51917358668,61917364224
10,10,1,7,10,61917358668,61917364224
10,10,1,8,1,52113,61917364224
10,10,1,8,2,1204113,61917364224
10,10,1,8,3,16564113,61917364224
10,10,1,8,4,150964113,61917364224
10,10,1,8,5,957364113,61917364224
10,10,1,8,6,4317364113,61917364224
10,10,1,8,7,13917364113,61917364224
10,10,1,8,8,31917364113,61917364224
10,10,1,8,9,51917364113,61917364224
10,10,1,8,10,61917364113,61917364224
10,10,1,9,1,52223,61917364224
10,10,1,9,2,1204223,61917364224
10,10,1,9,3,16564223,61917364224
10,10,1,9,4,150964223,61917364224
10,10,1,9,5,957364223,61917364224
10,10,1,9,6,4317364223,61917364224
10,10,1,9,7,13917364223,61917364224
10,10,1,9,8,31917364223,61917364224
10,10,1,9,9,51917364223,61917364224
10,10,1,9,10,61917364223,61917364224
10,10,1,10,1,52224,61917364224
10,10,1,10,2,1204224,61917364224
10,10,1,10,3,16564224,61917364224
10,10,1,10,4,150964224,61917364224
10,10,1,10,5,957364224,61917364224
10,10,1,10,6,4317364224,61917364224
10,10,1,10,7,13917364224,61917364224
10,10,1,10,8,31917364224,61917364224
10,10,1,10,9,51917364224,61917364224
10,10,1,10,10,61917364224,61917364224
10,11,1,1,1,1222,743008370688
10,11,1,1,2,56222,743008370688
10,11,1,1,3,1541222,743008370688
10,11,1,1,4,27941222,743008370688
10,11,1,1,5,351341222,743008370688
10,11,1,1,6,3123341222,743008370688
10,11,1,1,7,19623341222,743008370688
10,11,1,1,8,85623341222,743008370688
10,11,1,1,9,250623341222,743008370688
10,11,1,1,10,470623341222,743008370688
10,11,1,1,11,570623341222,743008370688
10,11,1,2,1,6227,743008370688
10,11,1,2,2,259227,743008370688
10,11,1,2,3,6364227,743008370688
10,11,1,2,4,102064227,743008370688
10,11,1,2,5,1118464227,743008370688
10,11,1,2,6,8510464227,743008370688
10,11,1,2,7,44810464227,743008370688
10,11,1,2,8,160310464227,743008370688
10,11,1,2,9,380310464227,743008370688
10,11,1,2,10,600310464227,743008370688
10,11,1,2,11,700310464227,743008370688
10,11,1,3,1,19592,743008370688
10,11,1,3,2,734592,743008370688
10,11,1,3,3,16079592,743008370688
10,11,1,3,4,227279592,743008370688
10,11,1,3,5,2167679592,743008370688
10,11,1,3,6,14179679592,743008370688
10,11,1,3,7,63679679592,743008370688
10,11,1,3,8,195679679592,743008370688
10,11,1,3,9,415679679592,743008370688
10,11,1,3,10,635679679592,743008370688
10,11,1,3,11,735679679592,743008370688
10,11,1,4,1,43022,743008370688
10,11,1,4,2,1451022,743008370688
10,11,1,4,3,28346022,743008370688
10,11,1,4,4,355046022,743008370688
10,11,1,4,5,2988446022,743008370688
10,11,1,4,6,17310446022,743008370688
10,11,1,4,7,70110446022,743008370688
10,11,1,4,8,202110446022,743008370688
10,11,1,4,9,422110446022,743008370688
10,11,1,4,10,642110446022,743008370688
10,11,1,4,11,742110446022,743008370688
10,11,1,5,1,71204,743008370688
10,11,1,5,2,2172204,743008370688
10,11,1,5,3,38307204,743008370688
10,11,1,5,4,434307204,743008370688
10,11,1,5,5,3344907204,743008370688
10,11,1,5,6,18128907204,743008370688
10,11,1,5,7,70928907204,743008370688
10,11,1,5,8,202928907204,743008370688
10,11,1,5,9,422928907204,743008370688
10,11,1,5,10,642928907204,743008370688
10,11,1,5,11,742928907204,743008370688
10,11,1,6,1,94766,743008370688
10,11,1,6,2,2657766,743008370688
10,11,1,6,3,43412766,743008370688
10,11,1,6,4,462512766,743008370688
10,11,1,6,5,3419312766,743008370688
10,11,1,6,6,18203312766,743008370688
10,11,1,6,7,71003312766,743008370688
10,11,1,6,8,203003312766,743008370688
10,11,1,6,9,423003312766,743008370688
10,11,1,6,10,643003312766,743008370688
10,11,1,6,11,743003312766,743008370688
10,11,1,7,1,108296,743008370688
10,11,1,7,2,2869296,743008370688
10,11,1,7,3,44944296,743008370688
10,11,1,7,4,467344296,743008370688
10,11,1,7,5,3424144296,743008370688
10,11,1,7,6,18208144296,743008370688
10,11,1,7,7,71008144296,743008370688
10,11,1,7,8,203008144296,743008370688
10,11,1,7,9,423008144296,743008370688
10,11,1,7,10,643008144296,743008370688
10,11,1,7,11,743008144296,743008370688
10,11,1,8,1,113411,743008370688
10,11,1,8,2,2923911,743008370688
10,11,1,8,3,45163911,743008370688
10,11,1,8,4,467563911,743008370688
10,11,1,8,5,3424363911,743008370688
10,11,1,8,6,18208363911,743008370688
10,11,1,8,7,71008363911,743008370688
10,11,1,8,8,203008363911,743008370688
10,11,1,8,9,423008363911,743008370688
10,11,1,8,10,643008363911,743008370688
10,11,1,8,11,743008363911,743008370688
10,11,1,9,1,114566,743008370688
10,11,1,9,2,2930566,743008370688
10,11,1,9,3,45170566,743008370688
10,11,1,9,4,467570566,743008370688
10,11,1,9,5,3424370566,743008370688
10,11,1,9,6,18208370566,743008370688
10,11,1,9,7,71008370566,743008370688
10,11,1,9,8,203008370566,743008370688
10,11,1,9,9,423008370566,743008370688
10,11,1,9,10,643008370566,743008370688
10,11,1,9,11,743008370566,743008370688
10,11,1,10,1,114687,743008370688
10,11,1,10,2,2930687,743008370688
10,11,1,10,3,45170687,743008370688
10,11,1,10,4,467570687,743008370688
10,11,1,10,5,3424370687,743008370688
10,11,1,10,6,18208370687,743008370688
10,11,1,10,7,71008370687,743008370688
10,11,1,10,8,203008370687,743008370688
10,11,1,10,9,423008370687,743008370688
10,11,1,10,10,643008370687,743008370688
10,11,1,10,11,743008370687,743008370688
10,11,1,11,1,114688,743008370688
10,11,1,11,2,2930688,743008370688
10,11,1,11,3,45170688,743008370688
10,11,1,11,4,467570688,743008370688
10,11,1,11,5,3424370688,743008370688
10,11,1,11,6,18208370688,743008370688
10,11,1,11,7,71008370688,743008370688
10,11,1,11,8,203008370688,743008370688
10,11,1,11,9,423008370688,743008370688
10,11,1,11,10,643008370688,743008370688
10,11,1,11,11,743008370688,743008370688
10,12,1,1,1,1453,8916100448256
10,12,1,1,2,74053,8916100448256
10,12,1,1,3,2274053,8916100448256
10,12,1,1,4,46824053,8916100448256
10,12,1,1,5,680424053,8916100448256
10,12,1,1,6,7148424053,8916100448256
10,12,1,1,7,54668424053,8916100448256
10,12,1,1,8,302168424053,8916100448256
10,12,1,1,9,1182168424053,8916100448256
10,12,1,1,10,3162168424053,8916100448256
10,12,1,1,11,5562168424053,8916100448256
10,12,1,1,12,6562168424053,8916100448256
10,12,1,2,1,8119,8916100448256
10,12,1,2,2,377719,8916100448256
10,12,1,2,3,10497719,8916100448256
10,12,1,2,4,193647719,8916100448256
10,12,1,2,5,2490447719,8916100448256
10,12,1,2,6,22818447719,8916100448256
10,12,1,2,7,149538447719,8916100448256
10,12,1,2,8,694038447719,8916100448256
10,12,1,2,9,2234038447719,8916100448256
10,12,1,2,10,4874038447719,8916100448256
10,12,1,2,11,7274038447719,8916100448256
10,12,1,2,12,8274038447719,8916100448256
10,12,1,3,1,28139,8916100448256
10,12,1,3,2,1189739,8916100448256
10,12,1,3,3,29789739,8916100448256
10,12,1,3,4,490139739,8916100448256
10,12,1,3,5,5558939739,8916100448256
10,12,1,3,6,44366939739,8916100448256
10,12,1,3,7,250286939739,8916100448256
10,12,1,3,8,992786939739,8916100448256
10,12,1,3,9,2752786939739,8916100448256
10,12,1,3,10,5392786939739,8916100448256
10,12,1,3,11,7792786939739,8916100448256
10,12,1,3,12,8792786939739,8916100448256
10,12,1,4,1,68234,8916100448256
10,12,1,4,2,2615834,8916100448256
10,12,1,4,3,58935834,8916100448256
10,12,1,4,4,865785834,8916100448256
10,12,1,4,5,8706585834,8916100448256
10,12,1,4,6,61374585834,8916100448256
10,12,1,4,7,306894585834,8916100448256
10,12,1,4,8,1098894585834,8916100448256
10,12,1,4,9,2858894585834,8916100448256
10,12,1,4,10,5498894585834,8916100448256
10,12,1,4,11,7898894585834,8916100448256
10,12,1,4,12,8898894585834,8916100448256
10,12,1,5,1,124466,8916100448256
10,12,1,5,2,4335266,8916100448256
10,12,1,5,3,88375266,8916100448256
10,12,1,5,4,1172425266,8916100448256
10,12,1,5,5,10676425266,8916100448256
10,12,1,5,6,68888425266,8916100448256
10,12,1,5,7,322328425266,8916100448256
10,12,1,5,8,1114328425266,8916100448256
10,12,1,5,9,2874328425266,8916100448256
10,12,1,5,10,5514328425266,8916100448256
10,12,1,5,11,7914328425266,8916100448256
10,12,1,5,12,8914328425266,8916100448256
10,12,1,6,1,180830,8916100448256
10,12,1,6,2,5777630,8916100448256
10,12,1,6,3,108297630,8916100448256
10,12,1,6,4,1330947630,8916100448256
10,12,1,6,5,11389347630,8916100448256
10,12,1,6,6,70525347630,8916100448256
10,12,1,6,7,323965347630,8916100448256
10,12,1,6,8,1115965347630,8916100448256
10,12,1,6,9,2875965347630,8916100448256
10,12,1,6,10,5515965347630,8916100448256
10,12,1,6,11,7915965347630,8916100448256
10,12,1,6,12,8915965347630,8916100448256
10,12,1,7,1,221222,8916100448256
10,12,1,7,2,6610022,8916100448256
10,12,1,7,3,117050022,8916100448256
10,12,1,7,4,1379300022,8916100448256
10,12,1,7,5,11516900022,8916100448256
10,12,1,7,6,70652900022,8916100448256
10,12,1,7,7,324092900022,8916100448256
10,12,1,7,8,1116092900022,8916100448256
10,12,1,7,9,2876092900022,8916100448256
10,12,1,7,10,5516092900022,8916100448256
10,12,1,7,11,7916092900022,8916100448256
10,12,1,7,12,8916092900022,8916100448256
10,12,1,8,1,241517,8916100448256
10,12,1,8,2,6927317,8916100448256
10,12,1,8,3,119347317,8916100448256
10,12,1,8,4,1386547317,8916100448256
10,12,1,8,5,11524147317,8916100448256
10,12,1,8,6,70660147317,8916100448256
10,12,1,8,7,324100147317,8916100448256
10,12,1,8,8,1116100147317,8916100448256
10,12,1,8,9,2876100147317,8916100448256
10,12,1,8,10,5516100147317,8916100448256
10,12,1,8,11,7916100147317,8916100448256
10,12,1,8,12,8916100147317,8916100448256
10,12,1,9,1,248337,8916100448256
10,12,1,9,2,7000137,8916100448256
10,12,1,9,3,119640137,8916100448256
10,12,1,9,4,1386840137,8916100448256
10,12,1,9,5,11524440137,8916100448256
10,12,1,9,6,70660440137,8916100448256
10,12,1,9,7,324100440137,8916100448256
10,12,1,9,8,1116100440137,8916100448256
10,12,1,9,9,2876100440137,8916100448256
10,12,1,9,10,5516100440137,8916100448256
10,12,1,9,11,7916100440137,8916100448256
10,12,1,9,12,8916100440137,8916100448256
10,12,1,10,1,249723,8916100448256
10,12,1,10,2,7008123,8916100448256
10,12,1,10,3,119648123,8916100448256
10,12,1,10,4,1386848123,8916100448256
10,12,1,10,5,11524448123,8916100448256
10,12,1,10,6,70660448123,8916100448256
10,12,1,10,7,324100448123,8916100448256
10,12,1,10,8,1116100448123,8916100448256
10,12,1,10,9,2876100448123,8916100448256
10,12,1,10,10,5516100448123,8916100448256
10,12,1,10,11,7916100448123,8916100448256
10,12,1,10,12,8916100448123,8916100448256
10,12,1,11,1,249855,8916100448256
10,12,1,11,2,7008255,8916100448256
10,12,1,11,3,119648255,8916100448256
10,12,1,11,4,1386848255,8916100448256
10,12,1,11,5,11524448255,8916100448256
10,12,1,11,6,70660448255,8916100448256
10,12,1,11,7,324100448255,8916100448256
10,12,1,11,8,1116100448255,8916100448256
10,12,1,11,9,2876100448255,8916100448256
10,12,1,11,10,5516100448255,8916100448256
10,12,1,11,11,7916100448255,8916100448256
10,12,1,11,12,8916100448255,8916100448256
10,12,1,12,1,249856,8916100448256
10,12,1,12,2,7008256,8916100448256
10,12,1,12,3,119648256,8916100448256
10,12,1,12,4,1386848256,8916100448256
10,12,1,12,5,11524448256,8916100448256
10,12,1,12,6,70660448256,8916100448256
10,12,1,12,7,324100448256,8916100448256
10,12,1,12,8,1116100448256,8916100448256
10,12,1,12,9,2876100448256,8916100448256
10,12,1,12,10,5516100448256,8916100448256
10,12,1,12,11,7916100448256,8916100448256
10,12,1,12,12,8916100448256,8916100448256
10,13,1,1,1,1695,106993205379072
10,13,1,1,2,95295,106993205379072
10,13,1,1,3,3241295,106993205379072
10,13,1,1,4,74741295,106993205379072
10,13,1,1,5,1233041295,106993205379072
10,13,1,1,6,14961041295,106993205379072
10,13,1,1,7,135081041295,106993205379072
10,13,1,1,8,907281041295,106993205379072
10,13,1,1,9,4482281041295,106993205379072
10,13,1,1,10,15922281041295,106993205379072
10,13,1,1,11,39322281041295,106993205379072
10,13,1,1,12,65322281041295,106993205379072
10,13,1,1,13,75322281041295,106993205379072
10,13,1,2,1,10299,106993205379072
10,13,1,2,2,532899,106993205379072
10,13,1,2,3,16548899,106993205379072
10,13,1,2,4,345448899,106993205379072
10,13,1,2,5,5107348899,106993205379072
10,13,1,2,6,54871348899,106993205379072
10,13,1,2,7,432391348899,106993205379072
10,13,1,2,8,2491591348899,106993205379072
10,13,1,2,9,10356591348899,106993205379072
10,13,1,2,10,30376591348899,106993205379072
10,13,1,2,11,61576591348899,106993205379072
10,13,1,2,12,87576591348899,106993205379072
10,13,1,2,13,97576591348899,106993205379072
10,13,1,3,1,38987,106993205379072
10,13,1,3,2,1848587,106993205379072
10,13,1,3,3,52184587,106993205379072
10,13,1,3,4,981684587,106993205379072
10,13,1,3,5,12950784587,106993205379072
10,13,1,3,6,122774784587,106993205379072
10,13,1,3,7,843494784587,106993205379072
10,13,1,3,8,4189694784587,106993205379072
10,13,1,3,9,14914694784587,106993205379072
10,13,1,3,10,37794694784587,106993205379072
10,13,1,3,11,68994694784587,106993205379072
10,13,1,3,12,94994694784587,106993205379072
10,13,1,3,13,104994694784587,106993205379072
10,13,1,4,1,103558,106993205379072
10,13,1,4,2,4487158,106993205379072
10,13,1,4,3,114883158,106993205379072
10,13,1,4,4,1945283158,106993205379072
10,13,1,4,5,22923383158,106993205379072
10,13,1,4,6,192807383158,106993205379072
10,13,1,4,7,1170927383158,106993205379072
10,13,1,4,8,5160627383158,106993205379072
10,13,1,4,9,16600627383158,106993205379072
10,13,1,4,10,39480627383158,106993205379072
10,13,1,4,11,70680627383158,106993205379072
10,13,1,4,12,96680627383158,106993205379072
