Keyword;Amount of Keywords;Open-Statistics.org ;Eurostat Landingpage;Eurostat Pivot Table
Employment;1;100;11;100
employment croatia;2;64;10;100
employment croatia women;3;100;13;100
employment croatia women per year;4;27;7;100
employment france;2;28;8;100
employment france women;3;54;10;100
employment france women per year;4;39;15;100
employment germany;2;1;6;100
employment germany women;3;1;3;100
employment germany women per year;4;1;2;100
employment hungary;2;1;6;100
employment hungary women;3;1;10;100
employment hungary women per year;4;1;4;100
employment ireland;2;100;100;100
employment ireland women;3;100;32;100
employment ireland women per year;4;100;100;100
employment poland;2;100;100;100
employment poland women;3;100;100;100
employment poland women per year;4;100;100;100
Employment rate;1;100;100;100
employment rate croatia;2;100;100;100
employment rate croatia men per year;4;100;100;100
employment rate croatia women;3;100;100;100
employment rate croatia women per year;4;100;100;100
employment rate france;2;100;100;100
employment rate france men per year;4;100;14;100
employment rate france women;3;29;13;100
employment rate france women per year;4;24;100;100
employment rate germany;2;17;9;100
employment rate germany men per year;4;29;13;100
employment rate germany women;3;23;100;100
employment rate germany women per year;4;100;12;100
employment rate hungary;2;39;12;100
employment rate hungary men per year;4;37;20;100
employment rate hungary women;3;21;15;100
employment rate hungary women per year;4;30;13;100
employment rate ireland;2;24;11;100
employment rate ireland men per year;4;17;11;100
employment rate ireland women;3;20;9;100
employment rate ireland women per year;4;29;16;100
employment rate poland;2;11;13;100
employment rate poland men per year;4;19;14;100
employment rate poland women;3;17;11;100
employment rate poland women per year;4;22;10;100
gdp;1;17;16;100
gdp croatia;2;12;13;100
gdp france;2;17;10;100
gdp germany;2;16;9;100
gdp hungary;2;28;2;100
gdp ireland;2;100;100;100
gdp per capita;2;15;7;100
gdp per capita croatia;3;20;3;100
gdp per capita croatia per year;4;19;3;100
gdp per capita france;3;19;4;100
gdp per capita france per year;4;17;2;100
gdp per capita germany;3;100;100;100
gdp per capita germany per year;4;18;2;100
gdp per capita hungary;3;8;3;100
gdp per capita hungary per year;4;16;10;100
gdp per capita ireland;3;11;4;100
gdp per capita ireland per year;4;11;1;100
gdp per capita poland;3;100;100;100
gdp per capita poland per year;4;8;1;100
gdp poland;2;6;1;100
Gross domestic product;1;12;1;100
gross domestic product croatia;2;4;2;100
gross domestic product france;2;25;14;100
gross domestic product germany;2;17;13;100
gross domestic product hungary;2;22;16;100
gross domestic product ireland;2;15;11;100
gross domestic product per capita;2;27;10;100
gross domestic product per capita croatia ;3;22;11;100
gross domestic product per capita croatia per year;4;100;8;100
gross domestic product per capita france;3;100;100;100
gross domestic product per capita france per year;4;100;7;100
gross domestic product per capita germany ;3;14;3;100
gross domestic product per capita germany per year;4;33;100;100
gross domestic product per capita hungary ;3;30;100;100
gross domestic product per capita hungary per year;4;12;4;100
gross domestic product per capita ireland ;3;11;100;100
gross domestic product per capita ireland per year;4;5;1;100
gross domestic product per capita poland;3;2;1;100
gross domestic product per capita poland per year;4;10;2;100
gross domestic product poland;2;2;4;100